time(s),keff(-),power(W),flux0,flux1(m-2s-1),TFuel_Max,Avg,Min,TCladding_Max,Avg,Min,TCoolant_Max,Avg,Min(K)
200.0138027,1.00346,1.2491e+07,6.1044e+06,6.3868e+06,1228.3,800.61,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0165187,1.00346,1.2489e+07,6.1034e+06,6.3857e+06,1228.3,800.64,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0197777,1.00346,1.2487e+07,6.1021e+06,6.3844e+06,1228.4,800.67,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0236884,1.00346,1.2483e+07,6.1006e+06,6.3828e+06,1228.5,800.71,600.95,713.61,647.53,600.18,685.92,628.47,600.02
200.0283811,1.00346,1.2479e+07,6.0986e+06,6.3808e+06,1228.6,800.75,600.95,713.61,647.53,600.18,685.92,628.47,600.02
200.0340122,1.00346,1.2474e+07,6.0962e+06,6.3782e+06,1228.7,800.8,600.95,713.62,647.54,600.18,685.92,628.47,600.02
200.0407693,1.00346,1.2468e+07,6.0932e+06,6.375e+06,1228.9,800.87,600.95,713.62,647.54,600.18,685.92,628.47,600.02
200.0488775,1.00346,1.246e+07,6.0893e+06,6.3711e+06,1229.1,800.94,600.95,713.63,647.54,600.18,685.92,628.47,600.02
200.0586072,1.00346,1.2451e+07,6.0846e+06,6.366e+06,1229.3,801.03,600.95,713.65,647.55,600.18,685.92,628.47,600.02
200.0702824,1.00346,1.2438e+07,6.0785e+06,6.3597e+06,1229.6,801.14,600.95,713.66,647.55,600.18,685.92,628.47,600.02
200.0842922,1.00346,1.2423e+07,6.0709e+06,6.3518e+06,1229.9,801.26,600.95,713.68,647.56,600.18,685.92,628.47,600.02
200.1011035,1.00346,1.2403e+07,6.0614e+06,6.3419e+06,1230.3,801.41,600.96,713.71,647.57,600.18,685.92,628.47,600.02
200.1212765,1.00346,1.2379e+07,6.0496e+06,6.3294e+06,1230.7,801.59,600.96,713.75,647.59,600.18,685.92,628.48,600.02
200.1454833,1.00346,1.2349e+07,6.0349e+06,6.314e+06,1231.3,801.79,600.96,713.79,647.61,600.18,685.93,628.48,600.02
